ElectricVehicle	Model	MaxSpeed	Weight	IsClosing	Price	Units in Stock
Scooter	TD123	34	17	0	4775	1
Scooter	TS123	31	15	0	4394	7
Bike	OL123	35	15	1	5039	5
Scooter	TM232	38	14	0	4619	4
Scooter	AR236	31	17	0	4095	6
Bike	MD323	33	18	1	4812	6
Scooter	AR237	40	18	0	5447	3
Bike	JR324	37	16	1	4090	9
Bike	TR238	33	18	1	4478	6
Scooter	WE325	40	13	0	4867	5
Bike	AE144	33	15	0	4059	7
Bike	LR526	39	14	0	4254	9
Scooter	AR236	32	16	0	4868	10
Scooter	GD323	31	14	0	5303	1
Bike	AR237	40	17	1	5373	9
Scooter	MD324	32	14	0	4765	8
Scooter	AR238	30	16	0	4107	3
Bike	NF343	40	16	1	4656	6
Bike	DK250	31	15	0	4551	10
Scooter	FD346	34	14	0	4452	7
Scooter	MD325	30	17	0	4982	6
Bike	AR239	37	16	0	5486	8
Bike	NF344	32	18	1	4150	9
Scooter	DK251	40	17	0	4660	7
Bike	FD347	30	18	1	4765	10
Bike	MD326	32	15	1	4202	1
Scooter	AR240	36	15	0	4977	5
Scooter	NF345	33	15	0	4508	8
Bike	AR236	33	16	0	4790	2
Scooter	GD323	40	18	0	4603	2
Scooter	AR237	32	14	0	5180	3
Bike	MD324	38	15	1	4202	9
Scooter	RR343	32	15	0	4790	10
Scooter	JR325	34	13	0	4086	5
